Item,Location,Sublocation,Serial,Quantity
APDIA READER,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos - Showroom,,1
"APDIA SHAKER,","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
"APDIA SHAKER,","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,4
APDIA TOUCH BOARD,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
APDIA WASHER ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
APDIA WASHER ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,7
"APEL BILIRUBIMETER,BR 501   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,2
"APEL BILIRUBIMETER,BR 501   ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 4,,1
APEL SPECTROPHOTOMETER,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Lagos - Showroom,,1
"APEL UV SPECTROPHOTOMETER, UNIT ","DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
APHERESIS MACHINE MCS+,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",DCLWarehouse - Abuja,,2
APHERESIS MACHINE MCS+,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Showroom,,1
APHERESIS MACHINE MCS+,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Store 2,,1
APHERESIS MACHINE MCS+,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Techical,,1
APHERESIS MACHINE MCS+,DCL Laboratory Products Ighodaro Ehanire house 2nd floor 34 Akpakpava Road Igbesama Junction. Benin,,,1
APHERESIS MCS TROLLEY  ,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Vitamed,,4
